elitaptent,1
veljusto,1
magna,5
gravida,5
nulla,7
primis,7
fusce,7
lobortis,7
ornare,7
phasellus,8
elementum,8
proin,8
nisl,8
massa,8
facilisi,8
nisi,8
metus,8
euismod,8
fames,8
augue,9
dictumst,9
commodo,9
cras,9
tincidunt,9
ridiculus,9
iaculis,9
vulputate,9
quis,9
parturient,9
nostra,9
dignissim,10
justo,10
lacus,10
class,10
ultrices,10
aliquet,10
auctor,10
tortor,10
ipsum,10
sem,10
mi,10
mus,10
accumsan,10
sed,10
aptent,10
molestie,10
curabitur,10
nam,10
est,11
mattis,11
quam,11
sociosqu,11
tempor,11
platea,11
ut,11
potenti,11
pharetra,11
tristique,11
pede,11
pretium,11
bibendum,11
imperdiet,11
mauris,11
felis,11
senectus,11
id,11
consequat,11
libero,11
amet,12
congue,12
per,12
aenean,12
neque,12
posuere,12
turpis,12
ligula,12
fringilla,12
nibh,12
faucibus,12
velit,12
vestibulum,12
varius,12
blandit,12
cursus,12
elit,12
nonummy,12
risus,12
luctus,13
nunc,13
eleifend,13
feugiat,13
viverra,13
ultricies,13
sagittis,13
malesuada,13
cum,13
penatibus,13
volutpat,13
suscipit,13
nullam,13
aliquam,13
porta,13
non,13
hymenaeos,13
lacinia,13
torquent,13
taciti,13
erat,13
lorem,13
at,14
ac,14
in,14
eros,14
sodales,14
eu,14
facilisis,14
morbi,14
pulvinar,14
ad,14
et,14
habitasse,14
adipiscing,14
maecenas,14
dictum,15
cubilia,15
lectus,15
nec,15
magnis,15
dolor,15
vehicula,15
litora,15
hac,15
eget,16
egestas,16
vitae,16
conubia,16
semper,16
dui,16
enim,16
sociis,17
vel,17
convallis,17
donec,17
netus,17
porttitor,17
integer,17
rutrum,17
natoque,17
dapibus,17
dis,17
leo,17
mollis,17
rhoncus,18
interdum,18
ante,18
inceptos,18
placerat,18
venenatis,18
arcu,18
orci,18
sapien,18
curae,18
duis,18
sit,19
a,19
fermentum,19
urna,19
odio,20
diam,20
tellus,20
tempus,20
hendrerit,21
purus,21
quisque,21
etiam,21
habitant,21
praesent,21
montes,22
vivamus,22
laoreet,22
nascetur,24
MAIORES QUE 10,119
